2022-02-28,0
2022-03-01,0
2022-03-02,0
2022-03-03,0
2022-03-04,0
2022-03-05,0
2022-03-06,0
2022-03-07,0
2022-03-08,1
2022-03-09,0
2022-03-10,0
2022-03-11,0
2022-03-12,0
2022-03-13,0
2022-03-14,0
2022-03-15,0
2022-03-16,1
2022-03-17,1
2022-03-18,1
2022-03-19,0
2022-03-20,0
2022-03-21,0
2022-03-22,0
2022-03-23,1
2022-03-24,0
2022-03-25,1
2022-03-26,0
2022-03-27,1
2022-03-28,0
2022-03-29,0
2022-03-30,1
2022-03-31,1
2022-04-01,0
2022-04-02,1
2022-04-03,0
2022-04-04,1
2022-04-05,0
2022-04-06,1
2022-04-07,1
2022-04-08,1
2022-04-09,0
2022-04-10,0
2022-04-11,0
2022-04-12,0
2022-04-13,0
2022-04-14,0
2022-04-15,0
2022-04-16,0
2022-04-17,0
2022-04-18,0
2022-04-19,1
2022-04-20,0
2022-04-21,0
