2022-02-28,15
2022-03-01,3
2022-03-02,1
2022-03-03,2
2022-03-04,1
2022-03-05,1
2022-03-06,0
2022-03-07,17
2022-03-08,1
2022-03-09,0
2022-03-10,1
2022-03-11,7
2022-03-12,2
2022-03-13,5
2022-03-14,5
2022-03-15,0
2022-03-16,2
2022-03-17,12
2022-03-18,0
2022-03-19,0
2022-03-20,0
2022-03-21,3
2022-03-22,2
2022-03-23,5
2022-03-24,2
2022-03-25,4
2022-03-26,0
2022-03-27,38
2022-03-28,46
2022-03-29,5
2022-03-30,6
2022-03-31,6
2022-04-01,45
2022-04-02,14
2022-04-03,4
2022-04-04,6
2022-04-05,20
2022-04-06,16
2022-04-07,11
2022-04-08,4
2022-04-09,0
2022-04-10,1
2022-04-11,25
2022-04-12,2
2022-04-13,15
2022-04-14,2
2022-04-15,1
2022-04-16,5
2022-04-17,2
2022-04-18,3
2022-04-19,12
2022-04-20,1
2022-04-21,5
2022-04-22,1
2022-04-23,24
2022-04-24,4
2022-04-25,14
2022-04-26,5
2022-04-27,3
2022-04-28,3
2022-04-29,4
2022-04-30,8
2022-05-01,1
2022-05-02,7
2022-05-03,6
2022-05-04,12
2022-05-05,19
2022-05-06,11
2022-05-07,3
2022-05-08,36
2022-05-09,7
2022-05-10,11
2022-05-11,11
2022-05-12,4
2022-05-13,3
